iter	Passed	Remaining
0	0	77
1	1	71
2	2	70
3	2	65
4	3	63
5	4	62
6	4	62
7	5	61
8	6	61
9	6	60
10	7	59
11	8	59
12	8	57
13	9	56
14	9	55
15	10	54
16	11	54
17	11	53
18	12	52
19	12	51
20	13	51
21	14	50
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	45
28	18	45
29	19	44
30	19	43
31	20	42
32	20	42
33	21	41
34	22	40
35	22	40
36	23	39
37	23	38
38	24	38
39	25	37
40	25	37
41	25	35
42	26	35
43	27	34
44	27	33
45	28	33
46	29	32
47	29	32
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	32	28
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	19
68	40	18
69	41	17
70	42	17
71	42	16
72	43	16
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
